country,timestamp,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,servious_critical,total_cases_1M_pop,total_deaths_1M_pop
Congo,2020-03-24 21:41:09,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.0
Costa Rica,2020-03-24 21:41:09,177.0,19.0,2.0,0.0,2.0,173.0,4.0,35.0,0.4
Croatia,2020-03-24 21:41:09,382.0,67.0,1.0,0.0,5.0,376.0,6.0,93.0,0.2
Cuba,2020-03-24 21:41:09,48.0,8.0,1.0,0.0,1.0,46.0,2.0,4.0,0.09
Curaçao,2020-03-24 21:41:09,6.0,2.0,1.0,0.0,0.0,5.0,0.0,37.0,6.0
Cyprus,2020-03-24 21:41:09,124.0,8.0,3.0,2.0,3.0,118.0,3.0,103.0,2.0
Czechia,2020-03-24 21:41:09,1394.0,158.0,2.0,1.0,8.0,1384.0,19.0,130.0,0.2
DRC,2020-03-24 21:41:09,45.0,9.0,2.0,0.0,0.0,43.0,0.0,0.5,0.02
Diamond Princess,2020-03-24 21:41:09,712.0,0.0,10.0,2.0,587.0,115.0,15.0,0.0,0.0
Djibouti,2020-03-24 21:41:09,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
Dominica,2020-03-24 21:41:09,2.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,0.0
Dominican Republic,2020-03-24 21:41:09,312.0,67.0,6.0,3.0,3.0,303.0,0.0,29.0,0.6
Ecuador,2020-03-24 21:41:09,1049.0,68.0,27.0,9.0,3.0,1019.0,2.0,59.0,2.0
Egypt,2020-03-24 21:41:09,402.0,36.0,20.0,1.0,80.0,302.0,0.0,4.0,0.2
El Salvador,2020-03-24 21:41:09,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.8,0.0
Equatorial Guinea,2020-03-24 21:41:09,9.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0
Eritrea,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0
Estonia,2020-03-24 21:41:09,369.0,17.0,0.0,0.0,7.0,362.0,4.0,278.0,0.0
Eswatini,2020-03-24 21:41:09,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
Ethiopia,2020-03-24 21:41:09,12.0,1.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0
Faeroe Islands,2020-03-24 21:41:09,122.0,4.0,0.0,0.0,23.0,99.0,0.0,2497.0,0.0
Fiji,2020-03-24 21:41:09,4.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
Finland,2020-03-24 21:41:09,792.0,92.0,1.0,0.0,10.0,781.0,11.0,143.0,0.2
French Guiana,2020-03-24 21:41:09,23.0,3.0,0.0,0.0,6.0,17.0,0.0,77.0,0.0
French Polynesia,2020-03-24 21:41:09,23.0,5.0,0.0,0.0,0.0,23.0,0.0,82.0,0.0
Gabon,2020-03-24 21:41:09,6.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.4
Gambia,2020-03-24 21:41:09,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.4
Georgia,2020-03-24 21:41:09,70.0,9.0,0.0,0.0,9.0,61.0,1.0,18.0,0.0
Ghana,2020-03-24 21:41:09,53.0,26.0,2.0,0.0,0.0,51.0,0.0,2.0,0.06
Gibraltar,2020-03-24 21:41:09,15.0,0.0,0.0,0.0,5.0,10.0,0.0,445.0,0.0
Greenland,2020-03-24 21:41:09,5.0,1.0,0.0,0.0,2.0,3.0,0.0,88.0,0.0
Grenada,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0
Guadeloupe,2020-03-24 21:41:09,62.0,0.0,1.0,0.0,0.0,61.0,4.0,155.0,2.0
Guam,2020-03-24 21:41:09,32.0,3.0,1.0,0.0,0.0,31.0,0.0,190.0,6.0
Guatemala,2020-03-24 21:41:09,21.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,0.06
Guinea,2020-03-24 21:41:09,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.0
Guyana,2020-03-24 21:41:09,20.0,0.0,1.0,0.0,0.0,19.0,0.0,25.0,1.0
Haiti,2020-03-24 21:41:09,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.0
Honduras,2020-03-24 21:41:09,30.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,0.0
Hungary,2020-03-24 21:41:09,187.0,20.0,9.0,1.0,21.0,157.0,6.0,19.0,0.9
Iceland,2020-03-24 21:41:09,648.0,60.0,2.0,1.0,51.0,595.0,13.0,1899.0,6.0
India,2020-03-24 21:41:09,536.0,37.0,10.0,0.0,40.0,486.0,0.0,0.4,0.01
Isle of Man,2020-03-24 21:41:09,23.0,10.0,0.0,0.0,0.0,23.0,0.0,270.0,0.0
Israel,2020-03-24 21:41:09,1930.0,488.0,3.0,2.0,53.0,1874.0,34.0,223.0,0.3
Ivory Coast,2020-03-24 21:41:09,73.0,48.0,0.0,0.0,2.0,71.0,0.0,3.0,0.0
Jamaica,2020-03-24 21:41:09,21.0,2.0,1.0,0.0,2.0,18.0,0.0,7.0,0.3
Japan,2020-03-24 21:41:09,1193.0,65.0,43.0,1.0,285.0,865.0,54.0,9.0,0.3
Jordan,2020-03-24 21:41:09,153.0,26.0,0.0,0.0,1.0,152.0,0.0,15.0,0.0
Kazakhstan,2020-03-24 21:41:09,72.0,10.0,0.0,0.0,0.0,72.0,0.0,4.0,0.0
Kenya,2020-03-24 21:41:09,25.0,9.0,0.0,0.0,0.0,25.0,0.0,0.5,0.0
Kuwait,2020-03-24 21:41:09,191.0,2.0,0.0,0.0,39.0,152.0,5.0,45.0,0.0
Kyrgyzstan,2020-03-24 21:41:09,42.0,26.0,0.0,0.0,0.0,42.0,0.0,6.0,0.0
Laos,2020-03-24 21:41:09,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0
Latvia,2020-03-24 21:41:09,197.0,17.0,0.0,0.0,1.0,196.0,0.0,104.0,0.0
Lebanon,2020-03-24 21:41:09,318.0,51.0,4.0,0.0,8.0,306.0,4.0,47.0,0.6
Liberia,2020-03-24 21:41:09,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0
Liechtenstein,2020-03-24 21:41:09,51.0,0.0,0.0,0.0,0.0,51.0,0.0,1338.0,0.0
Lithuania,2020-03-24 21:41:09,209.0,30.0,2.0,1.0,1.0,206.0,1.0,77.0,0.7
Luxembourg,2020-03-24 21:41:09,1099.0,224.0,8.0,0.0,6.0,1085.0,3.0,1756.0,13.0
Macao,2020-03-24 21:41:09,28.0,3.0,0.0,0.0,10.0,18.0,0.0,43.0,0.0
Madagascar,2020-03-24 21:41:09,17.0,5.0,0.0,0.0,0.0,17.0,0.0,0.6,0.0
Maldives,2020-03-24 21:41:09,13.0,0.0,0.0,0.0,5.0,8.0,0.0,24.0,0.0
Malta,2020-03-24 21:41:09,110.0,3.0,0.0,0.0,2.0,108.0,1.0,249.0,0.0
Martinique,2020-03-24 21:41:09,53.0,0.0,1.0,0.0,0.0,52.0,7.0,141.0,3.0
Mauritania,2020-03-24 21:41:09,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0
Mauritius,2020-03-24 21:41:09,42.0,6.0,2.0,0.0,0.0,40.0,1.0,33.0,2.0
Mayotte,2020-03-24 21:41:09,36.0,12.0,0.0,0.0,0.0,36.0,0.0,132.0,0.0
Mexico,2020-03-24 21:41:09,367.0,51.0,4.0,1.0,4.0,359.0,1.0,3.0,0.03
Moldova,2020-03-24 21:41:09,125.0,16.0,1.0,0.0,2.0,122.0,10.0,31.0,0.2
Monaco,2020-03-24 21:41:09,23.0,0.0,0.0,0.0,1.0,22.0,0.0,586.0,0.0
Mongolia,2020-03-24 21:41:09,10.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0
Montenegro,2020-03-24 21:41:09,47.0,20.0,1.0,0.0,0.0,46.0,0.0,75.0,2.0
Montserrat,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,200.0,0.0
Morocco,2020-03-24 21:41:09,170.0,27.0,5.0,1.0,6.0,159.0,1.0,5.0,0.1
Mozambique,2020-03-24 21:41:09,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0
Myanmar,2020-03-24 21:41:09,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0
Namibia,2020-03-24 21:41:09,7.0,3.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0
Nepal,2020-03-24 21:41:09,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07,0.0
New Caledonia,2020-03-24 21:41:09,10.0,2.0,0.0,0.0,0.0,10.0,0.0,35.0,0.0
New Zealand,2020-03-24 21:41:09,155.0,53.0,0.0,0.0,12.0,143.0,0.0,32.0,0.0
Nicaragua,2020-03-24 21:41:09,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0
Niger,2020-03-24 21:41:09,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0
Nigeria,2020-03-24 21:41:09,44.0,4.0,1.0,0.0,2.0,41.0,0.0,0.2,0.0
North Macedonia,2020-03-24 21:41:09,148.0,12.0,2.0,0.0,1.0,145.0,1.0,71.0,1.0
Oman,2020-03-24 21:41:09,84.0,18.0,0.0,0.0,17.0,67.0,0.0,16.0,0.0
Pakistan,2020-03-24 21:41:09,972.0,97.0,7.0,1.0,18.0,947.0,5.0,4.0,0.03
Palestine,2020-03-24 21:41:09,60.0,1.0,0.0,0.0,16.0,44.0,0.0,12.0,0.0
Panama,2020-03-24 21:41:09,345.0,0.0,6.0,0.0,1.0,338.0,33.0,80.0,1.0
Papua New Guinea,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
Paraguay,2020-03-24 21:41:09,27.0,5.0,2.0,1.0,0.0,25.0,1.0,4.0,0.3
Peru,2020-03-24 21:41:09,416.0,21.0,7.0,2.0,1.0,408.0,9.0,13.0,0.2
Puerto Rico,2020-03-24 21:41:09,39.0,8.0,2.0,0.0,1.0,36.0,0.0,14.0,0.7
Qatar,2020-03-24 21:41:09,526.0,25.0,0.0,0.0,41.0,485.0,6.0,183.0,0.0
Romania,2020-03-24 21:41:09,762.0,186.0,11.0,4.0,79.0,672.0,15.0,40.0,0.6
Russia,2020-03-24 21:41:09,495.0,57.0,1.0,0.0,22.0,472.0,8.0,3.0,0.01
Rwanda,2020-03-24 21:41:09,40.0,4.0,0.0,0.0,0.0,40.0,0.0,3.0,0.0
Réunion,2020-03-24 21:41:09,94.0,23.0,0.0,0.0,1.0,93.0,0.0,105.0,0.0
Saint Lucia,2020-03-24 21:41:09,3.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0
Saint Martin,2020-03-24 21:41:09,8.0,0.0,0.0,0.0,0.0,8.0,0.0,207.0,0.0
San Marino,2020-03-24 21:41:09,187.0,0.0,21.0,1.0,4.0,162.0,12.0,5511.0,619.0
Saudi Arabia,2020-03-24 21:41:09,767.0,205.0,1.0,1.0,28.0,738.0,0.0,22.0,0.03
Senegal,2020-03-24 21:41:09,86.0,7.0,0.0,0.0,8.0,78.0,0.0,5.0,0.0
Serbia,2020-03-24 21:41:09,303.0,54.0,3.0,0.0,15.0,285.0,21.0,35.0,0.3
Seychelles,2020-03-24 21:41:09,7.0,0.0,0.0,0.0,0.0,7.0,0.0,71.0,0.0
Singapore,2020-03-24 21:41:09,558.0,49.0,2.0,0.0,156.0,400.0,14.0,95.0,0.3
Sint Maarten,2020-03-24 21:41:09,2.0,0.0,0.0,0.0,0.0,2.0,0.0,47.0,0.0
Slovakia,2020-03-24 21:41:09,204.0,18.0,0.0,0.0,7.0,197.0,2.0,37.0,0.0
Slovenia,2020-03-24 21:41:09,480.0,38.0,4.0,1.0,3.0,473.0,12.0,231.0,2.0
Somalia,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06,0.0
South Africa,2020-03-24 21:41:09,554.0,152.0,0.0,0.0,4.0,550.0,2.0,9.0,0.0
Sri Lanka,2020-03-24 21:41:09,102.0,5.0,0.0,0.0,2.0,100.0,2.0,5.0,0.0
St. Barth,2020-03-24 21:41:09,3.0,0.0,0.0,0.0,0.0,3.0,0.0,304.0,0.0
St. Vincent Grenadines,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0
Sudan,2020-03-24 21:41:09,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.07,0.02
Suriname,2020-03-24 21:41:09,7.0,2.0,0.0,0.0,0.0,7.0,0.0,12.0,0.0
Syria,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06,0.0
Taiwan,2020-03-24 21:41:09,216.0,21.0,2.0,0.0,29.0,185.0,0.0,9.0,0.08
Tanzania,2020-03-24 21:41:09,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.2,0.0
Thailand,2020-03-24 21:41:09,827.0,106.0,4.0,3.0,52.0,771.0,7.0,12.0,0.06
Timor-Leste,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0
Togo,2020-03-24 21:41:09,20.0,2.0,0.0,0.0,1.0,19.0,0.0,2.0,0.0
Trinidad and Tobago,2020-03-24 21:41:09,53.0,2.0,0.0,0.0,0.0,53.0,0.0,38.0,0.0
Tunisia,2020-03-24 21:41:09,114.0,25.0,3.0,0.0,1.0,110.0,11.0,10.0,0.3
Turkey,2020-03-24 21:41:09,1872.0,343.0,44.0,7.0,0.0,1828.0,0.0,22.0,0.5
Turks and Caicos,2020-03-24 21:41:09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0
U.S. Virgin Islands,2020-03-24 21:41:09,17.0,0.0,0.0,0.0,0.0,17.0,0.0,163.0,0.0
UAE,2020-03-24 21:41:09,248.0,50.0,2.0,0.0,45.0,201.0,2.0,25.0,0.2
Uganda,2020-03-24 21:41:09,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.0
Ukraine,2020-03-24 21:41:09,97.0,24.0,3.0,0.0,1.0,93.0,0.0,2.0,0.07
Uruguay,2020-03-24 21:41:09,162.0,0.0,0.0,0.0,0.0,162.0,3.0,47.0,0.0
Uzbekistan,2020-03-24 21:41:09,50.0,4.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0
Vatican City,2020-03-24 21:41:09,4.0,3.0,0.0,0.0,0.0,4.0,0.0,4994.0,0.0
Venezuela,2020-03-24 21:41:09,84.0,0.0,0.0,0.0,15.0,69.0,2.0,3.0,0.0
Vietnam,2020-03-24 21:41:09,134.0,11.0,0.0,0.0,17.0,117.0,3.0,1.0,0.0
Zambia,2020-03-24 21:41:09,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0
Zimbabwe,2020-03-24 21:41:09,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.2,0.07
algeria,2020-03-24 21:41:09,264.0,34.0,19.0,2.0,24.0,221.0,0.0,6.0,0.4
australia,2020-03-24 21:41:09,2144.0,257.0,8.0,1.0,118.0,2018.0,11.0,84.0,0.3
austria,2020-03-24 21:41:09,5283.0,809.0,28.0,7.0,9.0,5246.0,22.0,587.0,3.0
belgium,2020-03-24 21:41:09,4269.0,526.0,122.0,34.0,461.0,3686.0,381.0,368.0,11.0
brazil,2020-03-24 21:41:09,2100.0,176.0,34.0,0.0,2.0,2064.0,18.0,10.0,0.2
canada,2020-03-24 21:41:09,2590.0,499.0,25.0,1.0,112.0,2453.0,1.0,69.0,0.7
china,2020-03-24 21:41:09,81171.0,78.0,3277.0,7.0,73159.0,4735.0,1573.0,56.0,2.0
china-hong-kong-sar,2020-03-24 21:41:09,386.0,29.0,4.0,0.0,102.0,280.0,4.0,51.0,0.5
denmark,2020-03-24 21:41:09,1591.0,131.0,32.0,8.0,1.0,1558.0,69.0,275.0,6.0
france,2020-03-24 21:41:09,22304.0,2448.0,1100.0,240.0,3281.0,17923.0,2516.0,342.0,17.0
germany,2020-03-24 21:41:09,32781.0,3725.0,157.0,34.0,3243.0,29381.0,23.0,391.0,2.0
greece,2020-03-24 21:41:09,743.0,48.0,20.0,3.0,29.0,694.0,35.0,71.0,2.0
indonesia,2020-03-24 21:41:09,686.0,107.0,55.0,6.0,30.0,601.0,0.0,3.0,0.2
iran,2020-03-24 21:41:09,24811.0,1762.0,1934.0,122.0,8913.0,13964.0,0.0,295.0,23.0
iraq,2020-03-24 21:41:09,316.0,50.0,27.0,4.0,75.0,214.0,0.0,8.0,0.7
ireland,2020-03-24 21:41:09,1329.0,204.0,7.0,1.0,5.0,1317.0,29.0,269.0,1.0
italy,2020-03-24 21:41:09,69176.0,5249.0,6820.0,743.0,8326.0,54030.0,3393.0,1144.0,113.0
malaysia,2020-03-24 21:41:09,1624.0,106.0,16.0,2.0,183.0,1425.0,64.0,50.0,0.5
netherlands,2020-03-24 21:41:09,5560.0,811.0,276.0,63.0,2.0,5282.0,435.0,324.0,16.0
norway,2020-03-24 21:41:09,2779.0,154.0,12.0,2.0,6.0,2761.0,44.0,513.0,2.0
philippines,2020-03-24 21:41:09,552.0,90.0,35.0,2.0,20.0,497.0,1.0,5.0,0.3
poland,2020-03-24 21:41:09,884.0,135.0,10.0,2.0,1.0,873.0,3.0,23.0,0.3
portugal,2020-03-24 21:41:09,2362.0,302.0,33.0,10.0,22.0,2307.0,48.0,232.0,3.0
south-korea,2020-03-24 21:41:09,9037.0,76.0,120.0,9.0,3507.0,5410.0,59.0,176.0,2.0
spain,2020-03-24 21:41:09,39676.0,4540.0,2800.0,489.0,3794.0,33082.0,2355.0,849.0,60.0
sweden,2020-03-24 21:41:09,2286.0,240.0,36.0,9.0,16.0,2234.0,136.0,226.0,4.0
switzerland,2020-03-24 21:41:09,9877.0,1082.0,122.0,2.0,131.0,9624.0,141.0,1141.0,14.0
uk,2020-03-24 21:41:09,8077.0,1427.0,422.0,87.0,135.0,7520.0,20.0,119.0,6.0
us,2020-03-24 21:41:09,52921.0,9187.0,684.0,131.0,370.0,51867.0,1175.0,160.0,2.0
